Title,Description,Compensation,Address,Employment Type,URL 
Arch Designers w/ Mixed-Use/High-Rise Projects - Immediate Hire,"Recognized for their large-scale, complex, commercial programs, this midtown based architectural design practice seeks an intermediate designer, to lead concept design through construction documentation of various new building local NYC projects. Must have prior exposure to large scale, high design-intent projects.

Minimum Requirements:
1.4-10+ years of experience in Mixed-Use/High-Rise Residential Projects
2. Ability to lead, manage, and also ""roll up sleeves "" and contribute ""hands on"" fashion. 

This is a full-time permanent placement. Candidates who are immediately available and qualified, please respond with your most up-to-date resume and work samples/portfolio.",65-120k based on level of experience,SoHo,full-time,https://newyork.craigslist.org/mnh/egr/d/arch-designers-mixed-use-high/6627275297.html
Mid-Level Architect: 5-10 years of Experience,"The primary duties of the Mid-Level Architect with 5-10 years of experience will be to provide project participation in all phases of design including Schematic Design, Design Development, Construction Documents and Construction Administration. The candidate must have design/production experience with knowledge of architectural working drawings/details. The following is required of the candidate:

- Licensure in New York State is preferred
- Bachelor's or Master's degree in Architecture (professional degree only)
- Proficiency in AutoCAD 2014 or later with BIM experience a plus
- Ability to coordinate the work of a multi-disciplinary team
- Ability to review submittals, respond to RFIs, and issue bulletins
- Self-motivation and the ability to work independently
- Experience with Microsoft Office (Word, Excel, PowerPoint) and other graphic/design software including the Adobe Design Suite
- Excellent written and verbal communication skills
- Ability to effectively communicate, collaborate and coordinate in the design studio

Preferred project experience includes K-12 schools, higher-education projects, design of large-scale public projects (transit stations, convention centers, and similar).

Experience and interest in sustainable design/documentation and LEED is strongly encouraged, with applicable accreditations preferred.

Reply to address above with cover letter, resume and examples of work.

di Domenico + Partners, LLP is an equal opportunity employer. The firm offers a full benefits package including health insurance, dental and vision insurance, and 401(k) retirement plan.

Please see our other opportunities at:",competitive,,full-time,https://newyork.craigslist.org/que/egr/d/mid-level-architect-5-10/6627315978.html
Project Manager,"Well established New York City datacom and electrical company seeking a dedicated Project Manager. The Project Manager will be responsible for the management of new site builds and site modifications for Small Cell & DAS projects. This individual must have experience in ODAS project management and the ability to work independently with limited supervision. Only applicants with ODAS project management experience will be considered for the position.

Job Role and Responsibilities:

Manage projects through the entire project lifecycle, managing multiple projects at once.

Responsible for building strong client relationships, managing expectations and acting as the primary liaison between the client and in-house teams.

Effectively communicate project expectations in a timely and clear fashion.

Work with customer and internal teams to understand, define and document project scope requirements and develop time estimates.

Work with Customer in resolving escalated issues.

Report on project status to team members, clients and senior management.

Responsible for proper invoicing, cost controls and performing change order management.

Provide quality management to ensure project deliverables are in line with client requirements.

Demonstrated ability to establish and communicate work load prioritization within and between project teams; well organized.

Participate in proactive team efforts to achieve departmental and company goals.

Uploading user information into systems.

Qualifications:

The successful candidate will have 5+ years of experience managing ODAS projects with the knowledge of all aspects of ODAS including survey, OSP design and construction, familiar with ECS and NYCDOT requirements, Civil and Node construction.

Bachelor's degree or one to two years related experience and/or training; or equivalent combination of education and experience. Construction Management, Engineering or Business preferred.

Proficient using Microsoft Office, Excel, PowerPoint and Outlook","T/B/D based upon experience, education and skill set.",,full-time,https://newyork.craigslist.org/jsy/egr/d/project-manager/6627523376.html
Senior Hardware/Software Electrical Engineer,"WHO WE ARE: MIDI is an established Award Winning Product Development firm located in Smithtown, NY specializing in innovative product engineering and design solutions for the medical and scientific markets. With over 45 years of product development consulting experience, having served clientele representing diverse industries both in the US and internationally, our success is based on our multi-disciplined, talented team. And, we are seeking additional team members!

WHO WE SEEK: Here is a basic description of how our instruments are typically structured and the type of skill-set we would be looking for in a Senior Electrical Engineer:

Starting from a high-level, the systems are typically controlled by Windows on an off-the-shelf SBC.  Within the Windows environment we need to develop a program and GUI to control the instrument using C#.NET.  The SBC will then instruct our ""Main Embedded PCB"" on tasks it needs to perform.  This Main-PCB will control/sense a combination of both analogue and digital components like PID-Heating, stepper motors, pumps, RTD, TC, optical & hall interrupts, etc.  We will need to generate schematics/layout/BOM on this PCB along with the C-code firmware to control the components.  Successful Engineers at MIDI are involved in the conceptualization and development of new and innovative products and work directly on-site as a team member and with our client's staff. Your role will be to design and prototype designs using EDA software and testing and improving upon designs.

WHO YOU ARE: You should possess a BS or MS and ideally 5+ years of Experience.   Additionally, you are enthusiastic, creative and a hands-on person.  As a strategic, critical and analytical thinker, you are creative at problem solving, intellectually curious, independent, self-starting and proactive. You are comfortable having daily contact with the company owners and can manage programs involving engineering/product development with ease.
If you are interested, please reply to this posting with only a PDF resume. No jpegs or photos please. We look forward to hearing from you!",Commensurate with experience.,"Smithtown, NY",full-time,https://newyork.craigslist.org/lgi/egr/d/senior-hardware-software/6627563431.html
Intermediate and Junior Architect,"Immediately open position! Flushing(Queens)  Residential Architectural Firm(6-7 people) Specializing in   residential developments from 1,2,3 Family (Alt1 or NB) to midrise and high rise condo buildings and commercial Hotel buildings seeks an intermediate architect proficient in AutoCAD with the following attributes:

-Self motivated
-Capable of working well independently
-Excellent coordinate skills
-Highly organized
-Excellent communication skills.
-Previous work experience with all phases of design and construction documents
-Strong technical skills with construction documents
-Familiarity with NYC zoning and building codes, having DOB expediter ID is a plus
-Ability to work efficiently in a fast-paced environment
-Bilingual is a plus (English and Chinese)
-Field experience and construction drawing knowledge is a big plus

Great opportunity for people who are interested in design and construction and real estate development and willing to learn things and work harder. Having tremendous growth opportunity. 

Candidates should send cover letter, resume, salary requirements and examples of construction document drawings in one PDF file. no phone calls, Email and text only please, Please put Email title to be  ARCH-resume",flexible with experience,"Flushing, Queens",full-time,https://newyork.craigslist.org/que/egr/d/intermediate-and-junior/6627967423.html
Architectural Drafter,"Our office is looking to hire a motivated architectural drafter with 0-2 year office experience (must have an architectural degree). 

The applicant must be well organized and efficient, as well as have experience in AutoCad. This position requires assisting in project managing, paperwork filing, and drafting. 

If you feel you are qualified and interested in this position, please send out a compilation of your resume and a small portfolio of your abilities: architectural drawings including details, plans, elevations, and sections.",As per experience,FLUSHING,full-time,https://newyork.craigslist.org/que/egr/d/architectural-drafter/6627754190.html
ELECTRICAL Project Manager,"We are a medium sized contractor in NYC
Must have 5+ years experience as project manager

Responsibilities
Attend job meetings
Review plan changes and prepare change orders
Manage multiple projects 
Billing",depends on experience,LIC,full-time,https://newyork.craigslist.org/que/egr/d/electrical-project-manager/6628145427.html
Automotive Technician,"Bill Volz Westchester Chrysler Dodge Jeep Ram is now hiring! We're looking for a Chrysler technician to join our team. Factory training a plus but willing to train the right person. We offer competitive pay, room for growth and a busy work load. Must have own tools and a clean drivers license.

Automotive Technician Responsibilities:

Diagnose and repair automotive vehicles, re : transmission, electrical, steering, suspension, brakes an AC systems
Perform routine vehicle tune-ups and maintenance
Provide labor and time estimates for automotive repairs
Inspect and test new vehicles for necessary adjustments

Automotive Technician Qualifications:

Previous experience as an automotive technician, mechanic, or other related fields
Chrysler Certified a plus
Knowledge of diagnostic and repair equipment
Strong mechanical aptitude and troubleshooting skills
Deadline and detail-oriented","We offer 401k, medical, dental and paid vacations. Drug testing required",Bill Volz Westchester,full-time,https://newyork.craigslist.org/wch/egr/d/automotive-technician/6628219050.html
Construction Site Manager w/ 40 hour Site Safety Supervisor Course.,"A well-established General Contractor Construction Company  in need for an experienced construction supervisor. 

Requirements:           ONLY THOSE WITH 40 HOUR COURSE COMPLETION WILL RECEIVE CALL BACK. 

       - Must have completed 40 hour DOB Site Safety Supervisor Course. 

       - Manage and supervise on site construction, subcontractors and vendors.
       - Ability to clearly understand scope of work as indicated in project plans and specs 
       - Supervise monthly inspection of fire extinguishers, sprinklers/standpipes, and maintain all appropriate log books.
       - Ensure all OSHA safety, DOB requirements and environmental requirements are met. 
       - Implement on site quality control and adherence to plans and specifications

Salary: To be determined based on qualification and experience
Career Level Required: Experienced
Job Status: Full Time 8am - 4pm

Please email your phone number for us to contact.",Salary: To be determined based on qualification and experience,,full-time,https://newyork.craigslist.org/mnh/egr/d/construction-site-manager-40/6628649688.html
Project Architect,"Joseph Vance Architects is a small but growing residential architecture firm based in Williamsburg just off McCarren Park. In our 27 years of business we have established ourselves as one of the premier firms specializing in brownstone and townhouse renovations, additions, ground-up construction, lofts and apartments. We are currently seeking a mid level Project Architect/Manager to join our ranks.

As a member of our team you will manage your own projects under the direction of the principal, and with the support of the office as needed to help meet deadlines. The format of our firm is such that everyone is expected to run his/her own jobs - generating designs, presentations and drawings, researching codes, managing schedules, and coordinating with clients, contractors, expeditors, city agencies, vendors, consultants, etc. throughout the entire process of the project from initial client meetings to punch-list closeout. The nature of our business requires immense organization, efficiency, and commitment, but we also maintain a very stable work/life balance. 

Ideally you have experience in residential architecture in NYC, some knowledge of NYC DOB and LPC, have worked with 3D modeling/BIM software (Archicad a plus) and the adobe creative suite. We also expect you to have a great design sensibility and critical thinking skills, along with 4-8 years of professional experience.

If this sounds like you, then please submit a pdf of your cover letter, resume, and work sample. This is a full time salaried position with medical coverage (no part-time or freelance work). We look forward to hearing from you and appreciate your interest in our firm!",Commensurate with Experience,Williamsburg,full-time,https://newyork.craigslist.org/brk/egr/d/project-architect/6628484761.html
Maintenance Engineer,"The prestigious New York Athletic Club, one of the world's premier private clubs, founded in 1868 and located in Central Park South in Manhattan, is seeking a full-time experienced Maintenance Engineer. The candidate will be maintaining and repairing the club to make sure it is at a quality standard.

The candidate will:
- Assist Director of Engineering with all maintenance and preventative maintenance to include: refrigeration, heating, plumbing, water treatment, preventative maintenance, A/C units, ice machines, lighting, kitchen equipment, switch rooms, electrical substations, etc.
- Ensure all projects are completed according to specifications and are completed on time.
- Understand and practice all lock out- tag out procedures in accordance with OSHA standards
- Perform all guestroom and public area preventative maintenance services as outlined.
- Report all safety and security concerns to Director of Engineering or to Manager on Duty immediately.
- Ensure cleanliness and orderliness of all work space and storage areas.
- Complete tasks as determined by the Director of Engineering.
- Provide professional and courteous service at all times

Requirements:
- Previous hotel engineering required (2-3 years)
- FSD and EPA certification preferred
- Previous background in HVAC and electrical
- Understand the technologies required in the work you are performing
- Change easily and frequently from one activity to another.","Medical, Vacation time, Sick time, 401K",,full-time,https://newyork.craigslist.org/mnh/egr/d/maintenance-engineer/6629530217.html
Exciting Jr Estimator/Drafter role in trendy LIC! Locals ONLY,"Jr Estimator/Drafter Position 

A leading Marble & Stone distributing and fabrication company is looking for a Jr Estimator/Drafter to work with our team of Architects and Engineers and convert designs into technical plans. Jr Estimator/Drafter responsibilities include gathering drawings and specifications, calculating material and equipment requirements and setting up production methods. If you have hands-on experience with computer-aided design (AutoCAD) software and are familiar with building processes, we'd like to meet you.

Ultimately, you'll help us build functional, secure and well-designed products and structures that meet our needs. This person must possess strong interpersonal skills, in order to efficiently communicate & assess client needs. Join our team and learn the ins and outs of our industry!

Responsibilities:
❏ Liaise with architects and engineers to gather product and structural requirements and designs
❏ Calculate dimensions, weight limitations and requirements in materials
❏ Describe production methods step-by-step (including equipment and software types to be used)
❏ Create detailed designs with computer-aided design (AutoCAD) software
❏ Design diagrams, maps and layouts to illustrate workflow
❏ Prepare and review rough sketches and review them along with the engineering team
❏ Ensure final designs comply with regulations and project specs
❏ Create manuals that describe existing products' operation and maintenance plans using AutoCAD
❏ Work from rough sketches and specifications created by engineers and architects
❏ Help design & draft products with engineering and manufacturing techniques
❏ Create drawings from architectural & engineering documents, following project specifications
❏ Prepare multiple versions of designs for review by engineers and architects
❏ Specify dimensions, materials, and procedures for projects 
❏ Work under the supervision of engineers or architects

Requirements: 

❏	Proven work experience as a Drafter or similar role
❏	Hands-on experience with computer-aided design (AutoCAD) software
❏	Familiarity with 3D modeling tools
❏	Good math skills
❏	Ability to meet deadlines
❏	Experience in stone/construction field, preparing & planning large scale projects using AutoCAD, etc. 

Qualifications:
❏	Bachelor's degree from an accredited University
❏	3 years of drafting experience 
❏	A detail-oriented approach to tasks
❏	A natural problem-solver
❏	Strong industry research skills",DOE,"Long Island City, NY",full-time,https://newyork.craigslist.org/que/egr/d/exciting-jr-estimator-drafter/6628524787.html
Model Maker,"Company: KMCA Location: New Haven, CT 
Job Description
KMCA, Inc. is seeking both entry level or experienced model makers to join its team.  

KMCA is one of the leading builders of architectural models and prototypes.

If you have experience in an architectural and or engineering model making environment fabricating high quality models and prototypes, working with CAD/CAM software as well as laser cutting, CNC machining skills and traditional model making, we want to talk to you.

The right candidate will have an opportunity to work on many diverse and interesting projects from all over the world.

Visit our website KMCA.com to learn more. 

Note:Candidates who are not U.S. citizens or permanent residents must have authorization to work in the US in order to apply. Application Details",based on experience,new haven,full-time,https://newyork.craigslist.org/mnh/egr/d/model-maker/6629541622.html
Experienced Senior Construction Manager,"Real Estate Developer seeks construction manager with ground up multifamily experience.  

The position will be as owner's representative and liaison with third party construction Management Company.  

Will report directly to ownership and have a junior project manager as a direct report.

Please send resume and salary requirements.",Please send resume and salary requirements.,White Plains,full-time,https://newyork.craigslist.org/wch/egr/d/experienced-senior/6629344747.html
Jr. Designer/Associate for Architectural Work and Interior Design work,"SoHo based boutique Architecture firm seeks Architectural Designer with 1-3 years of experience in architectural design or interior design. The position involves working on projects that include high-end renovation and new construction of residential, retail and commercial projects. 

Duties include assisting project managers, drafting, creating models and renderings, assembling construction documents, NYC permit sets and conducting research.

Applicants must be efficient, organized, and detail oriented with strong design skills. Knowledge of building materials and construction techniques is required. Must be able to communicate effectively and work as part of a team.

- Eligibility to work in the United States and fluent in English.
- Proficiency in Vectorworks is highly preferred, although CAD is acceptable. 
- Ability in 3D modeling, rendering and Revit are a plus.

Position is Full Time. Please reply with resume, hourly rate, and work samples.",TO BE DETERMINED,SoHo,full-time,https://newyork.craigslist.org/mnh/egr/d/jr-designer-associate-for/6629565899.html
"IT'S WHO YOU KNOW, OR CAN FIND! UP TO $300K LAND SALES","compensation: 2% COMMISION/FINDER'S FEE
employment type: contract
internship
telecommuting okay


It would definitely help if the candidate has a background in spirituality, telluric and cosmic energy and is sensitive to these kinds of energies and the eastern Arts of Chi Gung, Tai Chi, Yoga and meditation and know people or have the ability to get in touch with people with beaucoup money and similar interests.

Project: Find a buyer for Castle Mountain, a 400-acreSacred Mountain in Upstate New York located 2.5 hours from Manhattan, 1 hour from Albany, 1/2 hour to the Oneonta Airport and 1 mile from a private landing Strip ROW.

This mountain has, vortex, triangulation and telluric energy, similar to Sedona Arizona, and Mount Shasta California. This energy is very obvious to enlightened energy masters ,developers of 5-Star Spa resort hotels and Conference Centers, Healing and Performing Arts Centers, as well as spiritual and religious organizations Corporations, and Universities.

This is a commission-based position and pays a 2 percent fee of the selling price for finding a buyer and it is not necessary to even show the property. The property is being offered for $10,000,000. This fee is paid for introducing me to a buyer and should a deal be consummated, you are paid the 2 percent referral fee/commission at the closing., and you do not have to be a real estate broker to do this.

Interested candidates must view the property and that is the only requirement for the position. You can work at home, in your offices, on the road or on the telephone. You introduce me to a buyer, I show the property and you get paid at the closing.

The property can be viewed at www.castlemtn.com.

 Knowing spiritually enlightened people who feel, and resonate with the subtle energy (Ch'i/qi/ki/Prana) of Castle Mountain, is what you are getting paid for.

If you do not know any potential buyers yourself, you may offer part of your referral fee/commision  to a former boss, former firm, architect, engineer, CEO's you may know, or a friend who may know a potential buyer.

If your interested please call 607-652-3387, I do prefer the phone as I am visually challenged.  

Please feel free to view the website to view Castle Mountain at WWW.castlemtn.com .


Contact Kevin Misevis, President Fist-O-Funk,ltd. 607 652 3387.

    OK for recruiters to contact this job poster.
    do NOT contact us with unsolicited services or offers
    OK to highlight this job opening for persons with disabilities0

post id: 6581838220

email to friend

♥ best of [?]",2% FINDER'S FEE PAID ON CLOSING OF DEAL,,contract,https://newyork.craigslist.org/mnh/egr/d/its-who-you-know-or-can-find/6629730512.html
Project Manager Needed - Design Build Firm,"Design build office needs project manager.
Mininium of five years of prior experience required.

Knowledge of construction documents and the ability to see a job from the design phase thru construction is a must.
Drawing/drafting experience a plus - some minor drawing may be required, but not essential.  Note: we use AutoCAD & Rhino.

With your resume, please indicate your experience level and interests in a cover letter.  
Please indicate your current hourly rate.

Note: This position requires someone who is comfortable directing a construction crew & subcontractors and managing project budgets.",Hourly rate determined during interview.  We will email you if you fit the criteria and arrange for a phone interview first.,Financial District,full-time,https://newyork.craigslist.org/mnh/egr/d/project-manager-needed-design/6632709791.html
Interior Architect/Interior Designer - Intermediate,"Small architecture/interiors office specializing in hospitality interior architecture & interior design. 

As a small firm this position offers excellent learning opportunity - all aspects of the architecture/interior design process. 

We are looking for an Intermediate Level Architect/Interior Designer with 3-5 years experience.

Ideal candidates should have the following attributes:

- writing & communication skills
- knowledge of: Photoshop/Sketchup/Rhino/Illustrator/AutoCAD skills.
- experience with shop drawings /submittal process etc
- the ability to work independently.
- some site experience

Candidates should submit the following in an email with YOUR NAME & INTERMEDIATE APPLICATION in the subject line:

- A cover letter and resume
- Work samples in PDF format - no more than 8MB
- Salary requirement.",TBD,Downtown,full-time,https://newyork.craigslist.org/mnh/egr/d/interior-architect-interior/6632722090.html
SENIOR ARCHITECT,"Cowley Engineering, PC provides Structural and Forensic Engineering services for defect analysis, repurposing and repair of buildings and parking structures.  We take pride in empowering our clients by providing information, options and solutions that best fit their needs. 

We are searching for the following professional:  Senior Architect - Salary $100k-$120k.  Location:  Office in Stamford, CT with projects in Westchester County, Fairfield County, Bergen County and New York City. 

The ideal candidate for this position will possess an RA license and have familiarity with waterproofing and the rehabilitation and preservation of historic structures.  

Characteristics this candidate must possess are: leadership, a curious nature, writing and public speaking skills, the ability to work independently, outgoing personality and ambition.

 Responsibilities include:

•Assessment of multi-story commercial and residential buildings including planning for and supervision of execution of repairs of such buildings. 

•Provide direction for the creation of design plans and specifications for repairs including CAD drafting for the preparation of design drawings and specifications.

•Conduct site inspections and investigative analysis toward completion of assigned design tasks.

•Review staff quantity calculations including bills of materials and summaries of quantities.  

•Prepare structural element analysis and details for drafting.

•Perform field inspections without a fear of heights.

•Check calculations and drawings.

•Perform independent code research.

•Organize and schedule specific tasks and assignments for staff.

•Supervise and prepare repair related cost estimates, plans and reports.

•Work with expeditors to prepare permit applications for projects.

•Maintain project documentation, calculations, filings, etc.

•Must have working knowledge of Vectorworks (preferred) or Auto-CAD, Microsoft Excel and Microsoft Word. (Macintosh Versions)

•Must have excellent communication and organization skills.

•Travel to/in the NYC metro area and field work will be necessary.

•Any other tasks that may be assigned.

Candidates who fit the description should email their resume to:

Bree DePalo, Office Manager
Bree@CowleyEngineering.com


Cowley Engineering, PC
1100 Summer Street
Stamford, CT 06905

Please, no phone calls","$100,000 - $120,000/year. Vacation, health benefits, 401K.","Stamford, CT",full-time,https://newyork.craigslist.org/wch/egr/d/senior-architect/6632748645.html
Assistant of the technician,"You are Honest, Reliable, Love working with Customers and Get the Problem Solved?
You like to organize and help people?

A young, fast-growing company for HVAC and Air Ducts Cleaning looking for You!
The position of the assistant of the technician on cleaning of air ducts and HVAC units 650$ + tips is opened.


Requirements:
- Previous Experience in HVAC industry is a plus.
- English at the level of communication (basic)
- Driving license and work experience in the USA
- Strong Desire to grow and customer oriented
- Be familiar with ""Home Depot""
- Ability to work for Check",DOE,,full-time,https://newyork.craigslist.org/brk/egr/d/assistant-of-the-technician/6632968380.html
SENIOR ARCHITECT,"Cowley Engineering, PC provides Structural and Forensic Engineering services for defect analysis, repurposing and repair of buildings and parking structures.  We take pride in empowering our clients by providing information, options and solutions that best fit their needs. 

We are searching for the following professional:  Senior Architect - Salary $100k-$120k.  Location:  Office in Stamford, CT with projects in Westchester County, Fairfield County, Bergen County and New York City. 

The ideal candidate for this position will possess an RA license and have familiarity with waterproofing and the rehabilitation and preservation of historic structures.  

Characteristics this candidate must possess are: leadership, a curious nature, writing and public speaking skills, the ability to work independently, outgoing personality and ambition.

 Responsibilities include:

•Assessment of multi-story commercial and residential buildings including planning for and supervision of execution of repairs of such buildings. 

•Provide direction for the creation of design plans and specifications for repairs including CAD drafting for the preparation of design drawings and specifications.

•Conduct site inspections and investigative analysis toward completion of assigned design tasks.

•Review staff quantity calculations including bills of materials and summaries of quantities.  

•Prepare structural element analysis and details for drafting.

•Perform field inspections without a fear of heights.

•Check calculations and drawings.

•Perform independent code research.

•Organize and schedule specific tasks and assignments for staff.

•Supervise and prepare repair related cost estimates, plans and reports.

•Work with expeditors to prepare permit applications for projects.

•Maintain project documentation, calculations, filings, etc.

•Must have working knowledge of Vectorworks (preferred) or Auto-CAD, Microsoft Excel and Microsoft Word. (Macintosh Versions)

•Must have excellent communication and organization skills.

•Travel to/in the NYC metro area and field work will be necessary.

•Any other tasks that may be assigned.

Candidates who fit the description should email their resume to:

Bree DePalo, Office Manager
Bree@CowleyEngineering.com


Cowley Engineering, PC
1100 Summer Street
Stamford, CT 06905

Please, no phone calls","$100,000 - $120,000/year. Vacation, health benefits, 401K.","Stamford, CT",full-time,https://newyork.craigslist.org/fct/egr/d/senior-architect/6632742961.html
Architect 2-3 years Experience,"Downtown Manhattan architectural firm is seeking architect with a minimum of 2 to 3 years of experience. 
Bachelor of Architecture or Master of Architecture degree, legal residency, good communication and time management skills are essential. 

We are currently working on a wide range of residential projects including renovations and new buildings. 

You will work as part of our team. You must be detail oriented, hands on and ready for independence and responsibility. 
You will primarily work on preparing Construction Drawings on Auto CAD and assist in Construction Administration.

Please send cover letter, work samples and resume for consideration.",WILL DEPEND ON EXPERIENCE,Downtown,full-time,https://newyork.craigslist.org/mnh/egr/d/architect-2-3-years-experience/6632744472.html
Intermediate Architect,"Looking for freelance intermediate architect with experience in preparing plans for construction and filing with the building department. Experience using Vectorworks preferred.  Knowledge of sustainable design, 3D rendering a plus. Email resumes and samples of work.",To be determined based on experience,Midtown West,contract,https://newyork.craigslist.org/mnh/egr/d/intermediate-architect/6632835903.html
Architect 5-10 Years' Experience,"Terrence O'Neal Architect LLC and TONA | ACB Architects seeks project manager-level individual for design and construction documents for varied projects for local universities, airport work, and K-12 schools. The ideal candidate will have the following qualifications:

1. Accredited Degree in Architecture: B.Arch or M.Arch from a NAAB-accredited school.
2. 5-10 years' NYC experience minimum
3. Ability to handle all phases from design through construction documents
4. Knowledge of Revit a plus (but not required)

Please send a cover letter specifying how your qualifications match the requirements of this position,
along with a resume and project samples. No calls please.",Negotiable,NEW YORK,full-time,https://newyork.craigslist.org/mnh/egr/d/architect-5-10-years/6632987850.html
JUNIOR ARCHITECT,"New York Architectural firm Seeking to fill positions for Full-time Junior Architect. Work directly under licensed professional.   

We seek motivated, bright, and responsible individuals with:
• Strong communications skills
• Working towards or possess a bachelor and/or master degree in Architecture
• Detail oriented and organized
• Ability to work independently
• Willing to learn
• Skilled in Collaboration and able to take Direction from the Team

Software Requirements: 
• AutoCAD a must
• Sketchup
• Microsoft Office
• Photoshop


Please send your resume, examples of your work and cover letter with salary requirements.",Based on experience,NEW YORK,full-time,https://newyork.craigslist.org/que/egr/d/junior-architect/6634049902.html
3D Visualization Artist,"Mid-sized architecture + design firm in midtown with a dynamic, flexible and collaborative environment looking for a strong 3D renderer to join the team on a full-time basis.

Beyond the creation of photorealistic renderings, this person will work closely with the design team study, develop, and present complex design solutions for interior spaces. 

The right person should have:

Expertise with 3DStudio Max OR Rhino along Vray, Adobe Suite
3+ years of experience 3D rendering expertise in the architectural interiors field
Ability to work well in a team environment",competitive compensation based on experience,Midtown East,full-time,https://newyork.craigslist.org/mnh/egr/d/3d-visualization-artist/6633471457.html
Furniture Showroom Sales Position,"Modern, high-end furniture showroom specializing in furniture, lighting, closet & storage systems, rugs, and accessories featuring brands such as Living Divani and Porro.

Responsibilities:
Field sales inquiries and respond to clients.
Showroom reception - greet clients and answer the phone.
Sales orders
Vendor correspondence
The showroom has locations in NYC and the Hamptons. Occasional travel to the Hamptons may be required but the position is based in our NYC location. 

Requirements:
Previous experience in a showroom environment.
Experience with furniture sales and general knowledge of modern, high-end furniture.
Knowledge of AutoCAD.
Experience with decorative and architectural lighting sales a plus.
Experience with space planning and modular furniture a plus.
Excellent communications skills, both verbal and written.
Good personality, resourceful and energetic.
Well-organized and detail-oriented.
Ability to multi-task and prioritize.
Ability to thrive in a fast-paced environment, to work both independently and closely with others.
Professional appearance and attitude.
Knowledge of Microsoft Office. Knowledge of Adobe Suite (Photoshop, InDesign, Illustrator) a plus.",based on experience,Flatiron,full-time,https://newyork.craigslist.org/mnh/egr/d/furniture-showroom-sales/6633058322.html
High skill fabricator/Installer/Scenic,"We are a fabrication shop for a high end luxury retail store.  We do not work for multiple clients as we are financed by the store we build for.  Our work consists of highly visible displays(both windows and in store), events (2 day activations to 2 month pop up shops), fabrication and installation of digital marketing installations (tv plinths, event walls, projections).

We currently need a carpenter, who can read plans and build accordingly, also experienced enough to improvise without changing the design aesthetic.  Hours can be crazy,  we can work up to 14hr days when were meeting a deadline, but then have to weather the storm through the slow times as well (30hr weeks).  Most of our work is done 9-6 at our shop, but installing usually takes place after store hours 8pm and later.  

Skills/Experience:
Finish carpentry, production carpentry, set building, plan reading, project management, laminating, making cut lists, material management, computer knowledge, CAD knowledge.  Proficiency in all basic fabrication shop tools including but not limited to: spray booth, fork lift operation, welding, table saw, band saw, routers, panel saw, and intuition are all useful.",$20-$35 per hour,LIC,part-time,https://newyork.craigslist.org/brk/egr/d/high-skill-fabricator/6633572564.html
Office Assistant / Assistant Designer / Assistant Draftperson,"General Function & Scope:
Assist Managing Director and Lead Draftsperson with all aspects of design presentation and drafting. Key person for HCD Showroom maintenance and aesthetic. Create a welcoming environment for incoming clients. Internal upkeep of office systems and office supplies. 

Essential Responsibilities: 

Office Assistant: 
- Set out storefront sign , open up shop, light candles, put out bench. 
- Close up shop, lock door, set alarm, blow out candles
- Greet customers and help offer to sell candles and books
- Answer phone and direct call or email message
- Take out trash and recycling Monday, Tuesday, Wednesday
- Keep showroom tidy, desk tidy, dishes clean etc. 
- Maintenance and ordering of office supplies 
- Administrative support, general filing, amex preparation, quickbooks entries, employee hours entry
- Create systems for streamlining workflow and office efficiency
- Prepare budgets for client meetings
- Prepare first meeting package
- Create budgets for forecasting future project cost analysis

Assistant Designer:
- Completion reports and detailed planning for installations
- Manage vendor relations and help resolve problems that arise
- Space plan and create concept boards
- Source fabric and furnishings 
- Create furnishing boards
- Gather specifications for an order and enter data into Filemaker 
- Gather pricing on an order and prepare cut sheets and order confirmations 
- Supervise installations at site

Assistant Draftsperson:
- Prepare floor plans, furnishing plans, elevations, sections and schedules
- Prepare electrical plans, RCP's and plumbing plans
- Ensure that all DWG and PDF files are updated daily to Dropbox and labeled according to our Dropbox schedule

Marketing:
- Maintain position as spokesperson for upcoming PR opportunities ie: ABC etc 
- Put together a press kit
- Continually persist to get press coverage in US and also Norway
- Photograph existing projects and update website accordingly
- Use social media to reach maximum clientele 
- Plan two PR events per year
- Send out quarterly newsletter
- Create new showroom window display quarterly 
- Send out holiday PR cards for each holiday
- Order and maintain candles and books for showroom",$20 per hour,West Village,full-time,https://newyork.craigslist.org/mnh/egr/d/office-assistant-assistant/6633721980.html
